record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.199790,PASS,FAIL,902041,A6EB06BF-44A6-4AC4-AAB1-809E427B0BB2,FK2323MFAT2AA0005,2023-06-09 14:44:25,2023-06-09 14:46:55,STA236YM5101,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.073717,PASS,FAIL,902041,A6EB06BF-44A6-4AC4-AAB1-809E427B0BB2,FK2323MFAT2AA0005,2023-06-09 14:44:25,2023-06-09 14:46:55,STA236YM5101,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.886082,PASS,FAIL,902041,A6EB06BF-44A6-4AC4-AAB1-809E427B0BB2,FK2323MFAT2AA0005,2023-06-09 14:44:25,2023-06-09 14:46:55,STA236YM5101,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.897245,PASS,FAIL,902041,A6EB06BF-44A6-4AC4-AAB1-809E427B0BB2,FK2323MFAT2AA0005,2023-06-09 14:44:25,2023-06-09 14:46:55,STA236YM5101,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,1.844944,PASS,FAIL,902041,A6EB06BF-44A6-4AC4-AAB1-809E427B0BB2,FK2323MFAT2AA0005,2023-06-09 14:44:25,2023-06-09 14:46:55,STA236YM5101,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.906054,PASS,FAIL,902041,A6EB06BF-44A6-4AC4-AAB1-809E427B0BB2,FK2323MFAT2AA0005,2023-06-09 14:44:25,2023-06-09 14:46:55,STA236YM5101,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.072978,PASS,FAIL,902041,A6EB06BF-44A6-4AC4-AAB1-809E427B0BB2,FK2323MFAT2AA0005,2023-06-09 14:44:25,2023-06-09 14:46:55,STA236YM5101,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.112201,PASS,FAIL,902041,A6EB06BF-44A6-4AC4-AAB1-809E427B0BB2,FK2323MFAT2AA0005,2023-06-09 14:44:25,2023-06-09 14:46:55,STA236YM5101,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.665,0.000000,PASS,FAIL,902041,A6EB06BF-44A6-4AC4-AAB1-809E427B0BB2,FK2323MFAT2AA0005,2023-06-09 14:44:25,2023-06-09 14:46:55,STA236YM5101,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,902041,A6EB06BF-44A6-4AC4-AAB1-809E427B0BB2,FK2323MFAT2AA0005,2023-06-09 14:44:25,2023-06-09 14:46:55,STA236YM5101,monolith_bollard_ft,10023020
