record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.811006,PASS,FAIL,902063,BA6E3090-DFD0-4C50-A638-87851D3ED4DD,FK2324MFAT2AA000C,2023-06-15 10:54:43,2023-06-15 10:56:53,STA236YM5202,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.102245,PASS,FAIL,902063,BA6E3090-DFD0-4C50-A638-87851D3ED4DD,FK2324MFAT2AA000C,2023-06-15 10:54:43,2023-06-15 10:56:53,STA236YM5202,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.902715,PASS,FAIL,902063,BA6E3090-DFD0-4C50-A638-87851D3ED4DD,FK2324MFAT2AA000C,2023-06-15 10:54:43,2023-06-15 10:56:53,STA236YM5202,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.921479,PASS,FAIL,902063,BA6E3090-DFD0-4C50-A638-87851D3ED4DD,FK2324MFAT2AA000C,2023-06-15 10:54:43,2023-06-15 10:56:53,STA236YM5202,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.931033,PASS,FAIL,902063,BA6E3090-DFD0-4C50-A638-87851D3ED4DD,FK2324MFAT2AA000C,2023-06-15 10:54:43,2023-06-15 10:56:53,STA236YM5202,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.936193,PASS,FAIL,902063,BA6E3090-DFD0-4C50-A638-87851D3ED4DD,FK2324MFAT2AA000C,2023-06-15 10:54:43,2023-06-15 10:56:53,STA236YM5202,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.085142,PASS,FAIL,902063,BA6E3090-DFD0-4C50-A638-87851D3ED4DD,FK2324MFAT2AA000C,2023-06-15 10:54:43,2023-06-15 10:56:53,STA236YM5202,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.112212,PASS,FAIL,902063,BA6E3090-DFD0-4C50-A638-87851D3ED4DD,FK2324MFAT2AA000C,2023-06-15 10:54:43,2023-06-15 10:56:53,STA236YM5202,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.607,0.000000,PASS,FAIL,902063,BA6E3090-DFD0-4C50-A638-87851D3ED4DD,FK2324MFAT2AA000C,2023-06-15 10:54:43,2023-06-15 10:56:53,STA236YM5202,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,902063,BA6E3090-DFD0-4C50-A638-87851D3ED4DD,FK2324MFAT2AA000C,2023-06-15 10:54:43,2023-06-15 10:56:53,STA236YM5202,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.082345,PASS,FAIL,902063,BA6E3090-DFD0-4C50-A638-87851D3ED4DD,FK2324MFAT2AA000C,2023-06-15 10:54:43,2023-06-15 10:56:53,STA236YM5202,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.098846,PASS,FAIL,902063,BA6E3090-DFD0-4C50-A638-87851D3ED4DD,FK2324MFAT2AA000C,2023-06-15 10:54:43,2023-06-15 10:56:53,STA236YM5202,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.126122,PASS,FAIL,902063,BA6E3090-DFD0-4C50-A638-87851D3ED4DD,FK2324MFAT2AA000C,2023-06-15 10:54:43,2023-06-15 10:56:53,STA236YM5202,monolith_bollard_ft,10023020
