record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.210302,PASS,PASS,0,D358C66E-B32E-40DF-9EBD-C716BBEA5B4C,FK2324MFAT2AA003F,2023-06-15 19:40:00,2023-06-15 19:42:59,STA236YM5204,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.072385,PASS,PASS,0,D358C66E-B32E-40DF-9EBD-C716BBEA5B4C,FK2324MFAT2AA003F,2023-06-15 19:40:00,2023-06-15 19:42:59,STA236YM5204,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,1.395194,PASS,PASS,0,D358C66E-B32E-40DF-9EBD-C716BBEA5B4C,FK2324MFAT2AA003F,2023-06-15 19:40:00,2023-06-15 19:42:59,STA236YM5204,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.928510,PASS,PASS,0,D358C66E-B32E-40DF-9EBD-C716BBEA5B4C,FK2324MFAT2AA003F,2023-06-15 19:40:00,2023-06-15 19:42:59,STA236YM5204,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.917481,PASS,PASS,0,D358C66E-B32E-40DF-9EBD-C716BBEA5B4C,FK2324MFAT2AA003F,2023-06-15 19:40:00,2023-06-15 19:42:59,STA236YM5204,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.924457,PASS,PASS,0,D358C66E-B32E-40DF-9EBD-C716BBEA5B4C,FK2324MFAT2AA003F,2023-06-15 19:40:00,2023-06-15 19:42:59,STA236YM5204,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.089489,PASS,PASS,0,D358C66E-B32E-40DF-9EBD-C716BBEA5B4C,FK2324MFAT2AA003F,2023-06-15 19:40:00,2023-06-15 19:42:59,STA236YM5204,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.138386,PASS,PASS,0,D358C66E-B32E-40DF-9EBD-C716BBEA5B4C,FK2324MFAT2AA003F,2023-06-15 19:40:00,2023-06-15 19:42:59,STA236YM5204,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.571,0.000000,PASS,PASS,0,D358C66E-B32E-40DF-9EBD-C716BBEA5B4C,FK2324MFAT2AA003F,2023-06-15 19:40:00,2023-06-15 19:42:59,STA236YM5204,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,D358C66E-B32E-40DF-9EBD-C716BBEA5B4C,FK2324MFAT2AA003F,2023-06-15 19:40:00,2023-06-15 19:42:59,STA236YM5204,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.077453,PASS,PASS,0,D358C66E-B32E-40DF-9EBD-C716BBEA5B4C,FK2324MFAT2AA003F,2023-06-15 19:40:00,2023-06-15 19:42:59,STA236YM5204,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.098392,PASS,PASS,0,D358C66E-B32E-40DF-9EBD-C716BBEA5B4C,FK2324MFAT2AA003F,2023-06-15 19:40:00,2023-06-15 19:42:59,STA236YM5204,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.115375,PASS,PASS,0,D358C66E-B32E-40DF-9EBD-C716BBEA5B4C,FK2324MFAT2AA003F,2023-06-15 19:40:00,2023-06-15 19:42:59,STA236YM5204,monolith_bollard_ft,10023020
