record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.422123,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.095355,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.889522,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.930566,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.921534,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.917467,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.079378,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.991798,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.588,0.000000,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.088422,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.078377,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.121454,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
14,TST_Battery1_V,2,4.2,V,3.480,0.000000,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
15,TST_Battery1_C,-10000,200000,uA,-00213.0,0.000000,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
16,Status_0,0,0,,0,1.095432,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
17,TST_Solar_L,PASS,PASS,,PASS,1.114351,PASS,FAIL,902063,0BCDFA39-C611-45DD-ADB2-1B27D77FDB42,FK2324MFAT2AA003F,2023-06-15 19:36:18,2023-06-15 19:38:56,STA236YM5204,monolith_bollard_ft,10023020
