record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.216273,PASS,PASS,0,7E337694-AE36-4811-BAC7-0B8EB2034234,FK2325MFAT2AA002D,2023-06-24 11:11:21,2023-06-24 11:14:11,STA236YM5301,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.092412,PASS,PASS,0,7E337694-AE36-4811-BAC7-0B8EB2034234,FK2325MFAT2AA002D,2023-06-24 11:11:21,2023-06-24 11:14:11,STA236YM5301,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.886493,PASS,PASS,0,7E337694-AE36-4811-BAC7-0B8EB2034234,FK2325MFAT2AA002D,2023-06-24 11:11:21,2023-06-24 11:14:11,STA236YM5301,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.924468,PASS,PASS,0,7E337694-AE36-4811-BAC7-0B8EB2034234,FK2325MFAT2AA002D,2023-06-24 11:11:21,2023-06-24 11:14:11,STA236YM5301,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.931479,PASS,PASS,0,7E337694-AE36-4811-BAC7-0B8EB2034234,FK2325MFAT2AA002D,2023-06-24 11:11:21,2023-06-24 11:14:11,STA236YM5301,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.919458,PASS,PASS,0,7E337694-AE36-4811-BAC7-0B8EB2034234,FK2325MFAT2AA002D,2023-06-24 11:11:21,2023-06-24 11:14:11,STA236YM5301,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.083372,PASS,PASS,0,7E337694-AE36-4811-BAC7-0B8EB2034234,FK2325MFAT2AA002D,2023-06-24 11:11:21,2023-06-24 11:14:11,STA236YM5301,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.129348,PASS,PASS,0,7E337694-AE36-4811-BAC7-0B8EB2034234,FK2325MFAT2AA002D,2023-06-24 11:11:21,2023-06-24 11:14:11,STA236YM5301,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.602,0.000000,PASS,PASS,0,7E337694-AE36-4811-BAC7-0B8EB2034234,FK2325MFAT2AA002D,2023-06-24 11:11:21,2023-06-24 11:14:11,STA236YM5301,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,7E337694-AE36-4811-BAC7-0B8EB2034234,FK2325MFAT2AA002D,2023-06-24 11:11:21,2023-06-24 11:14:11,STA236YM5301,monolith_bollard_ft,10023020
