record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.010010,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.214253,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.894507,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.925462,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.084364,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.554,0.000000,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.092408,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,23.000,1.114363,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,92.400000,0.696354,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000038,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,10.277471,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
13,LTE_19199_Power,-44,4,dBm,-14.766224,3.066284,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.031217,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
15,LTE_23010_Power,-44,4,dBm,-42.992836,3.063035,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,3.053263,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
17,factory_mode_off,PASS,PASS,,PASS,3.001584,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
18,modem_enable_status,PASS,PASS,,PASS,0.885494,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
19,NFC_IN_Status,PASS,PASS,,PASS,0.101223,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
20,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.087365,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
21,NFC_Detect_Measurement,PASS,PASS,,PASS,1.086373,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
22,Set_modem_on,PASS,PASS,,PASS,1.078354,PASS,PASS,0,706184EC-18AE-453A-8E22-EB90F3EF54E2,FK2323MCAM2AA000F,2023-06-10 16:46:35,2023-06-10 16:49:36,STQ236YM4102,monolith_cassette_ft,10023023
