record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.029114,PASS,FAIL,201044,4E272A5A-ECF3-4499-B240-0426E5C2E062,FK2323MCAM2AA004A,2023-06-10 18:14:20,2023-06-10 18:16:32,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.218294,PASS,FAIL,201044,4E272A5A-ECF3-4499-B240-0426E5C2E062,FK2323MCAM2AA004A,2023-06-10 18:14:20,2023-06-10 18:16:32,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.888490,PASS,FAIL,201044,4E272A5A-ECF3-4499-B240-0426E5C2E062,FK2323MCAM2AA004A,2023-06-10 18:14:20,2023-06-10 18:16:32,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.922472,PASS,FAIL,201044,4E272A5A-ECF3-4499-B240-0426E5C2E062,FK2323MCAM2AA004A,2023-06-10 18:14:20,2023-06-10 18:16:32,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.084380,PASS,FAIL,201044,4E272A5A-ECF3-4499-B240-0426E5C2E062,FK2323MCAM2AA004A,2023-06-10 18:14:20,2023-06-10 18:16:32,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.557,0.000000,PASS,FAIL,201044,4E272A5A-ECF3-4499-B240-0426E5C2E062,FK2323MCAM2AA004A,2023-06-10 18:14:20,2023-06-10 18:16:32,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,201044,4E272A5A-ECF3-4499-B240-0426E5C2E062,FK2323MCAM2AA004A,2023-06-10 18:14:20,2023-06-10 18:16:32,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.097373,PASS,FAIL,201044,4E272A5A-ECF3-4499-B240-0426E5C2E062,FK2323MCAM2AA004A,2023-06-10 18:14:20,2023-06-10 18:16:32,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,27.000,1.125329,PASS,FAIL,201044,4E272A5A-ECF3-4499-B240-0426E5C2E062,FK2323MCAM2AA004A,2023-06-10 18:14:20,2023-06-10 18:16:32,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,91.400000,0.693832,PASS,FAIL,201044,4E272A5A-ECF3-4499-B240-0426E5C2E062,FK2323MCAM2AA004A,2023-06-10 18:14:20,2023-06-10 18:16:32,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.001298,PASS,FAIL,201044,4E272A5A-ECF3-4499-B240-0426E5C2E062,FK2323MCAM2AA004A,2023-06-10 18:14:20,2023-06-10 18:16:32,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.001137,PASS,FAIL,201044,4E272A5A-ECF3-4499-B240-0426E5C2E062,FK2323MCAM2AA004A,2023-06-10 18:14:20,2023-06-10 18:16:32,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-44,4,dBm,-19.543903,3.063163,PASS,FAIL,201044,4E272A5A-ECF3-4499-B240-0426E5C2E062,FK2323MCAM2AA004A,2023-06-10 18:14:20,2023-06-10 18:16:32,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.026012,PASS,FAIL,201044,4E272A5A-ECF3-4499-B240-0426E5C2E062,FK2323MCAM2AA004A,2023-06-10 18:14:20,2023-06-10 18:16:32,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-44,4,dBm,-45.171551,3.062280,FAIL,FAIL,201044,4E272A5A-ECF3-4499-B240-0426E5C2E062,FK2323MCAM2AA004A,2023-06-10 18:14:20,2023-06-10 18:16:32,STQ236YM4103,monolith_cassette_ft,10023023
