record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.010979,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.211268,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.895494,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.935465,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.107349,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.570,0.0,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.0,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.088353,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,23.000,1.148344,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,91.600000,0.696444,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000616,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,2.999884,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-20.303280,3.06656,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.066911,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-44,4,dBm,-33.463753,3.067163,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,3.056885,PASS,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-35.939278,3.063544,FAIL,FAIL,201046,CEB8E638-ADEA-4A6F-80B5-DE31085DDBEB,FK2323MCAM2AA0052,2023-06-12 13:38:47,2023-06-12 13:41:28,STQ236YM4103,monolith_cassette_ft,10023023
