record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.025393,PASS,FAIL,201044,A975646F-4FF1-4EC4-94BC-FB53E905DB91,FK2323MCAM2AA006C,2023-06-12 14:59:08,2023-06-12 15:01:19,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.240239,PASS,FAIL,201044,A975646F-4FF1-4EC4-94BC-FB53E905DB91,FK2323MCAM2AA006C,2023-06-12 14:59:08,2023-06-12 15:01:19,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.885494,PASS,FAIL,201044,A975646F-4FF1-4EC4-94BC-FB53E905DB91,FK2323MCAM2AA006C,2023-06-12 14:59:08,2023-06-12 15:01:19,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.939483,PASS,FAIL,201044,A975646F-4FF1-4EC4-94BC-FB53E905DB91,FK2323MCAM2AA006C,2023-06-12 14:59:08,2023-06-12 15:01:19,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.090436,PASS,FAIL,201044,A975646F-4FF1-4EC4-94BC-FB53E905DB91,FK2323MCAM2AA006C,2023-06-12 14:59:08,2023-06-12 15:01:19,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.570,0.000000,PASS,FAIL,201044,A975646F-4FF1-4EC4-94BC-FB53E905DB91,FK2323MCAM2AA006C,2023-06-12 14:59:08,2023-06-12 15:01:19,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,201044,A975646F-4FF1-4EC4-94BC-FB53E905DB91,FK2323MCAM2AA006C,2023-06-12 14:59:08,2023-06-12 15:01:19,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.072387,PASS,FAIL,201044,A975646F-4FF1-4EC4-94BC-FB53E905DB91,FK2323MCAM2AA006C,2023-06-12 14:59:08,2023-06-12 15:01:19,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,28.000,1.116390,PASS,FAIL,201044,A975646F-4FF1-4EC4-94BC-FB53E905DB91,FK2323MCAM2AA006C,2023-06-12 14:59:08,2023-06-12 15:01:19,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.100000,0.700528,PASS,FAIL,201044,A975646F-4FF1-4EC4-94BC-FB53E905DB91,FK2323MCAM2AA006C,2023-06-12 14:59:08,2023-06-12 15:01:19,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,2.999780,PASS,FAIL,201044,A975646F-4FF1-4EC4-94BC-FB53E905DB91,FK2323MCAM2AA006C,2023-06-12 14:59:08,2023-06-12 15:01:19,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.001292,PASS,FAIL,201044,A975646F-4FF1-4EC4-94BC-FB53E905DB91,FK2323MCAM2AA006C,2023-06-12 14:59:08,2023-06-12 15:01:19,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-21.341614,3.072266,PASS,FAIL,201044,A975646F-4FF1-4EC4-94BC-FB53E905DB91,FK2323MCAM2AA006C,2023-06-12 14:59:08,2023-06-12 15:01:19,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.063246,PASS,FAIL,201044,A975646F-4FF1-4EC4-94BC-FB53E905DB91,FK2323MCAM2AA006C,2023-06-12 14:59:08,2023-06-12 15:01:19,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-44,4,dBm,-51.366066,3.064034,FAIL,FAIL,201044,A975646F-4FF1-4EC4-94BC-FB53E905DB91,FK2323MCAM2AA006C,2023-06-12 14:59:08,2023-06-12 15:01:19,STQ236YM4103,monolith_cassette_ft,10023023
