record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.01003,PASS,PASS,0,297F7FCF-CA8B-47D3-B3BE-2B752C44C5C0,FK2323MCAM2AA006C,2023-06-12 15:32:02,2023-06-12 15:35:31,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.231282,PASS,PASS,0,297F7FCF-CA8B-47D3-B3BE-2B752C44C5C0,FK2323MCAM2AA006C,2023-06-12 15:32:02,2023-06-12 15:35:31,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.907484,PASS,PASS,0,297F7FCF-CA8B-47D3-B3BE-2B752C44C5C0,FK2323MCAM2AA006C,2023-06-12 15:32:02,2023-06-12 15:35:31,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.918459,PASS,PASS,0,297F7FCF-CA8B-47D3-B3BE-2B752C44C5C0,FK2323MCAM2AA006C,2023-06-12 15:32:02,2023-06-12 15:35:31,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.100368,PASS,PASS,0,297F7FCF-CA8B-47D3-B3BE-2B752C44C5C0,FK2323MCAM2AA006C,2023-06-12 15:32:02,2023-06-12 15:35:31,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.566,0.0,PASS,PASS,0,297F7FCF-CA8B-47D3-B3BE-2B752C44C5C0,FK2323MCAM2AA006C,2023-06-12 15:32:02,2023-06-12 15:35:31,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.0,PASS,PASS,0,297F7FCF-CA8B-47D3-B3BE-2B752C44C5C0,FK2323MCAM2AA006C,2023-06-12 15:32:02,2023-06-12 15:35:31,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.088363,PASS,PASS,0,297F7FCF-CA8B-47D3-B3BE-2B752C44C5C0,FK2323MCAM2AA006C,2023-06-12 15:32:02,2023-06-12 15:35:31,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,31.000,1.11537,PASS,PASS,0,297F7FCF-CA8B-47D3-B3BE-2B752C44C5C0,FK2323MCAM2AA006C,2023-06-12 15:32:02,2023-06-12 15:35:31,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.000000,0.69416,PASS,PASS,0,297F7FCF-CA8B-47D3-B3BE-2B752C44C5C0,FK2323MCAM2AA006C,2023-06-12 15:32:02,2023-06-12 15:35:31,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.00017,PASS,PASS,0,297F7FCF-CA8B-47D3-B3BE-2B752C44C5C0,FK2323MCAM2AA006C,2023-06-12 15:32:02,2023-06-12 15:35:31,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000816,PASS,PASS,0,297F7FCF-CA8B-47D3-B3BE-2B752C44C5C0,FK2323MCAM2AA006C,2023-06-12 15:32:02,2023-06-12 15:35:31,STQ236YM4103,monolith_cassette_ft,10023023
