record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.022087,PASS,PASS,0,773CFB77-5A93-44BA-BDEC-6912BD78D684,FK2323MCAM2AA000E,2023-06-13 11:25:14,2023-06-13 11:28:40,STQ236YM4102,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.220301,PASS,PASS,0,773CFB77-5A93-44BA-BDEC-6912BD78D684,FK2323MCAM2AA000E,2023-06-13 11:25:14,2023-06-13 11:28:40,STQ236YM4102,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.901521,PASS,PASS,0,773CFB77-5A93-44BA-BDEC-6912BD78D684,FK2323MCAM2AA000E,2023-06-13 11:25:14,2023-06-13 11:28:40,STQ236YM4102,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.934465,PASS,PASS,0,773CFB77-5A93-44BA-BDEC-6912BD78D684,FK2323MCAM2AA000E,2023-06-13 11:25:14,2023-06-13 11:28:40,STQ236YM4102,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.104366,PASS,PASS,0,773CFB77-5A93-44BA-BDEC-6912BD78D684,FK2323MCAM2AA000E,2023-06-13 11:25:14,2023-06-13 11:28:40,STQ236YM4102,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.571,0.0,PASS,PASS,0,773CFB77-5A93-44BA-BDEC-6912BD78D684,FK2323MCAM2AA000E,2023-06-13 11:25:14,2023-06-13 11:28:40,STQ236YM4102,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.0,PASS,PASS,0,773CFB77-5A93-44BA-BDEC-6912BD78D684,FK2323MCAM2AA000E,2023-06-13 11:25:14,2023-06-13 11:28:40,STQ236YM4102,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.091376,PASS,PASS,0,773CFB77-5A93-44BA-BDEC-6912BD78D684,FK2323MCAM2AA000E,2023-06-13 11:25:14,2023-06-13 11:28:40,STQ236YM4102,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,27.000,1.126354,PASS,PASS,0,773CFB77-5A93-44BA-BDEC-6912BD78D684,FK2323MCAM2AA000E,2023-06-13 11:25:14,2023-06-13 11:28:40,STQ236YM4102,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.000000,0.692173,PASS,PASS,0,773CFB77-5A93-44BA-BDEC-6912BD78D684,FK2323MCAM2AA000E,2023-06-13 11:25:14,2023-06-13 11:28:40,STQ236YM4102,monolith_cassette_ft,10023023
