record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.012084,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.228291,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.894475,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.928457,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.096363,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.564,0.0,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.0,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.091374,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,26.000,1.123376,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.000000,0.70118,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.00038,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.001443,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-22.084969,3.05974,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.035082,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-41.432861,3.030711,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,3.05933,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-26.619209,3.034247,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
18,LTE_23179_Frequency,0.7155,0.7165,GHz,0.715950,3.065387,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
19,factory_mode_off,PASS,PASS,,PASS,3.001216,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
20,modem_enable_status,PASS,PASS,,PASS,0.878508,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
21,NFC_IN_Status,PASS,PASS,,PASS,0.101053,PASS,PASS,0,954A8D22-D55C-45C1-9ED0-F4ADB3DF1F95,FK2323MCAM2AA008A,2023-06-14 09:50:24,2023-06-14 09:53:56,STQ236YM4103,monolith_cassette_ft,10023023
