record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.017043,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.232294,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.897477,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.92349,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.087363,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.560,0.0,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.0,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.089377,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,28.000,1.132348,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.000000,0.697602,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.001297,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,2.999295,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-19.413240,3.026442,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.064247,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-37.622025,3.06221,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699050,3.02733,PASS,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-33.993828,3.062247,FAIL,FAIL,201046,D2768FD1-4369-4182-B5D4-619B58B1CE33,FK2323MCAM2AA009D,2023-06-14 14:49:32,2023-06-14 14:52:14,STQ236YM4103,monolith_cassette_ft,10023023
