record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.01899,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.226254,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.888483,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.948424,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.087358,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.541,0.0,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.0,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.085379,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,26.000,1.120318,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.700000,0.697563,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000322,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,2.999334,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-20.961552,3.069258,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.053342,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-31.657433,3.032367,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,3.032382,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-28.880188,3.031423,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
18,LTE_23179_Frequency,0.7155,0.7165,GHz,0.716000,3.058394,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
19,factory_mode_off,PASS,PASS,,PASS,2.999629,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
20,modem_enable_status,PASS,PASS,,PASS,0.882473,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
21,NFC_IN_Status,PASS,PASS,,PASS,0.100955,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
22,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.097372,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
23,NFC_Detect_Measurement,PASS,PASS,,PASS,1.092325,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
24,Set_modem_on,PASS,PASS,,PASS,1.086377,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
25,Check_network_connected,PASS,PASS,,PASS,1.086377,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
26,IMEI,1.00E+14,1.00E+15,,869965065812673,0.894488,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
27,ICCID,1.00E+19,1.00E+20,,89430301722235531728,0.888492,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
28,opmode_clear_forced_state,PASS,PASS,,PASS,1.094381,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
29,Enter_Shipmode,PASS,PASS,,PASS,1.097371,PASS,PASS,0,A8EA2FF0-8D50-44C7-A8CB-07F93545FB9D,FK2323MCAM2AA00AB,2023-06-14 19:51:01,2023-06-14 19:54:29,STQ236YM4103,monolith_cassette_ft,10023023
