record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.017017,PASS,PASS,0,90415B53-DA0C-4A55-8F24-37462F7C1516,FK2323MCAM2AA00DE,2023-06-15 10:21:45,2023-06-15 10:25:14,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,2.279642,PASS,PASS,0,90415B53-DA0C-4A55-8F24-37462F7C1516,FK2323MCAM2AA00DE,2023-06-15 10:21:45,2023-06-15 10:25:14,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.894469,PASS,PASS,0,90415B53-DA0C-4A55-8F24-37462F7C1516,FK2323MCAM2AA00DE,2023-06-15 10:21:45,2023-06-15 10:25:14,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.952433,PASS,PASS,0,90415B53-DA0C-4A55-8F24-37462F7C1516,FK2323MCAM2AA00DE,2023-06-15 10:21:45,2023-06-15 10:25:14,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.096364,PASS,PASS,0,90415B53-DA0C-4A55-8F24-37462F7C1516,FK2323MCAM2AA00DE,2023-06-15 10:21:45,2023-06-15 10:25:14,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.558,0.0,PASS,PASS,0,90415B53-DA0C-4A55-8F24-37462F7C1516,FK2323MCAM2AA00DE,2023-06-15 10:21:45,2023-06-15 10:25:14,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.0,PASS,PASS,0,90415B53-DA0C-4A55-8F24-37462F7C1516,FK2323MCAM2AA00DE,2023-06-15 10:21:45,2023-06-15 10:25:14,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.097362,PASS,PASS,0,90415B53-DA0C-4A55-8F24-37462F7C1516,FK2323MCAM2AA00DE,2023-06-15 10:21:45,2023-06-15 10:25:14,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,26.000,1.122339,PASS,PASS,0,90415B53-DA0C-4A55-8F24-37462F7C1516,FK2323MCAM2AA00DE,2023-06-15 10:21:45,2023-06-15 10:25:14,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,91.700000,0.702553,PASS,PASS,0,90415B53-DA0C-4A55-8F24-37462F7C1516,FK2323MCAM2AA00DE,2023-06-15 10:21:45,2023-06-15 10:25:14,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.001297,PASS,PASS,0,90415B53-DA0C-4A55-8F24-37462F7C1516,FK2323MCAM2AA00DE,2023-06-15 10:21:45,2023-06-15 10:25:14,STQ236YM4103,monolith_cassette_ft,10023023
