record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.015992,PASS,PASS,0,31035183-C20A-4901-A690-360A1574E6DF,FK2323MCAM2AA013B,2023-06-15 19:56:26,2023-06-15 19:59:54,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.223291,PASS,PASS,0,31035183-C20A-4901-A690-360A1574E6DF,FK2323MCAM2AA013B,2023-06-15 19:56:26,2023-06-15 19:59:54,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.898497,PASS,PASS,0,31035183-C20A-4901-A690-360A1574E6DF,FK2323MCAM2AA013B,2023-06-15 19:56:26,2023-06-15 19:59:54,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.931469,PASS,PASS,0,31035183-C20A-4901-A690-360A1574E6DF,FK2323MCAM2AA013B,2023-06-15 19:56:26,2023-06-15 19:59:54,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.088368,PASS,PASS,0,31035183-C20A-4901-A690-360A1574E6DF,FK2323MCAM2AA013B,2023-06-15 19:56:26,2023-06-15 19:59:54,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.557,0.000000,PASS,PASS,0,31035183-C20A-4901-A690-360A1574E6DF,FK2323MCAM2AA013B,2023-06-15 19:56:26,2023-06-15 19:59:54,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,31035183-C20A-4901-A690-360A1574E6DF,FK2323MCAM2AA013B,2023-06-15 19:56:26,2023-06-15 19:59:54,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.087375,PASS,PASS,0,31035183-C20A-4901-A690-360A1574E6DF,FK2323MCAM2AA013B,2023-06-15 19:56:26,2023-06-15 19:59:54,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,27.000,1.125336,PASS,PASS,0,31035183-C20A-4901-A690-360A1574E6DF,FK2323MCAM2AA013B,2023-06-15 19:56:26,2023-06-15 19:59:54,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,90.700000,0.698656,PASS,PASS,0,31035183-C20A-4901-A690-360A1574E6DF,FK2323MCAM2AA013B,2023-06-15 19:56:26,2023-06-15 19:59:54,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,2.999557,PASS,PASS,0,31035183-C20A-4901-A690-360A1574E6DF,FK2323MCAM2AA013B,2023-06-15 19:56:26,2023-06-15 19:59:54,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000757,PASS,PASS,0,31035183-C20A-4901-A690-360A1574E6DF,FK2323MCAM2AA013B,2023-06-15 19:56:26,2023-06-15 19:59:54,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-17.352459,3.032355,PASS,PASS,0,31035183-C20A-4901-A690-360A1574E6DF,FK2323MCAM2AA013B,2023-06-15 19:56:26,2023-06-15 19:59:54,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.063437,PASS,PASS,0,31035183-C20A-4901-A690-360A1574E6DF,FK2323MCAM2AA013B,2023-06-15 19:56:26,2023-06-15 19:59:54,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-30.106529,3.035505,PASS,PASS,0,31035183-C20A-4901-A690-360A1574E6DF,FK2323MCAM2AA013B,2023-06-15 19:56:26,2023-06-15 19:59:54,STQ236YM4103,monolith_cassette_ft,10023023
