record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.003989,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.223248,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.894489,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.919465,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.111351,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.550,0.000000,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.087360,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,26.000,1.129335,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,91.600000,0.696652,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000686,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000512,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-17.744581,3.037449,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.058777,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-24.490105,3.036108,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,3.068203,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-25.980095,3.091560,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
18,LTE_23179_Frequency,0.7155,0.7165,GHz,0.716000,3.034749,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
19,factory_mode_off,PASS,PASS,,PASS,3.001461,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
20,modem_enable_status,PASS,PASS,,PASS,0.897531,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
21,NFC_IN_Status,PASS,PASS,,PASS,0.101035,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
22,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.120382,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
23,NFC_Detect_Measurement,PASS,PASS,,PASS,1.110364,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
24,Set_modem_on,PASS,PASS,,PASS,1.100436,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
25,Check_network_connected,PASS,PASS,,PASS,1.088378,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
26,IMEI,1.00E+14,1.00E+15,,869965065815106,0.898507,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
27,ICCID,1.00E+19,1.00E+20,,89430301722235531504,0.908475,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
28,opmode_clear_forced_state,PASS,PASS,,PASS,1.100354,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
29,Enter_Shipmode,PASS,PASS,,PASS,1.108382,PASS,PASS,0,947D87DD-6A71-427B-A36C-8DD6E6D340C4,FK2323MCAM2AA01AD,2023-06-16 16:53:40,2023-06-16 16:57:09,STQ236YM4103,monolith_cassette_ft,10023023
