record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.003981,PASS,FAIL,201066,4ED2E21D-9D38-4ACE-8696-03FB1492127E,FK2323MCAM2AA016B,2023-06-16 17:20:18,2023-06-16 17:23:47,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,21.010928,PASS,FAIL,201066,4ED2E21D-9D38-4ACE-8696-03FB1492127E,FK2323MCAM2AA016B,2023-06-16 17:20:18,2023-06-16 17:23:47,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.902474,PASS,FAIL,201066,4ED2E21D-9D38-4ACE-8696-03FB1492127E,FK2323MCAM2AA016B,2023-06-16 17:20:18,2023-06-16 17:23:47,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.926478,PASS,FAIL,201066,4ED2E21D-9D38-4ACE-8696-03FB1492127E,FK2323MCAM2AA016B,2023-06-16 17:20:18,2023-06-16 17:23:47,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.090382,PASS,FAIL,201066,4ED2E21D-9D38-4ACE-8696-03FB1492127E,FK2323MCAM2AA016B,2023-06-16 17:20:18,2023-06-16 17:23:47,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.544,0.000000,PASS,FAIL,201066,4ED2E21D-9D38-4ACE-8696-03FB1492127E,FK2323MCAM2AA016B,2023-06-16 17:20:18,2023-06-16 17:23:47,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,201066,4ED2E21D-9D38-4ACE-8696-03FB1492127E,FK2323MCAM2AA016B,2023-06-16 17:20:18,2023-06-16 17:23:47,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.085371,PASS,FAIL,201066,4ED2E21D-9D38-4ACE-8696-03FB1492127E,FK2323MCAM2AA016B,2023-06-16 17:20:18,2023-06-16 17:23:47,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,26.000,1.137389,PASS,FAIL,201066,4ED2E21D-9D38-4ACE-8696-03FB1492127E,FK2323MCAM2AA016B,2023-06-16 17:20:18,2023-06-16 17:23:47,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,91.400000,0.694299,PASS,FAIL,201066,4ED2E21D-9D38-4ACE-8696-03FB1492127E,FK2323MCAM2AA016B,2023-06-16 17:20:18,2023-06-16 17:23:47,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.001569,PASS,FAIL,201066,4ED2E21D-9D38-4ACE-8696-03FB1492127E,FK2323MCAM2AA016B,2023-06-16 17:20:18,2023-06-16 17:23:47,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000012,PASS,FAIL,201066,4ED2E21D-9D38-4ACE-8696-03FB1492127E,FK2323MCAM2AA016B,2023-06-16 17:20:18,2023-06-16 17:23:47,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-29.010548,3.071851,PASS,FAIL,201066,4ED2E21D-9D38-4ACE-8696-03FB1492127E,FK2323MCAM2AA016B,2023-06-16 17:20:18,2023-06-16 17:23:47,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.054594,PASS,FAIL,201066,4ED2E21D-9D38-4ACE-8696-03FB1492127E,FK2323MCAM2AA016B,2023-06-16 17:20:18,2023-06-16 17:23:47,STQ236YM4103,monolith_cassette_ft,10023023
