record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.004996,PASS,PASS,0,4F56885B-3758-476E-ACFE-80D1BE00F13B,FK2323MCAM2AA01AE,2023-06-16 17:54:35,2023-06-16 17:58:03,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.247314,PASS,PASS,0,4F56885B-3758-476E-ACFE-80D1BE00F13B,FK2323MCAM2AA01AE,2023-06-16 17:54:35,2023-06-16 17:58:03,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.910546,PASS,PASS,0,4F56885B-3758-476E-ACFE-80D1BE00F13B,FK2323MCAM2AA01AE,2023-06-16 17:54:35,2023-06-16 17:58:03,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.945448,PASS,PASS,0,4F56885B-3758-476E-ACFE-80D1BE00F13B,FK2323MCAM2AA01AE,2023-06-16 17:54:35,2023-06-16 17:58:03,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.102386,PASS,PASS,0,4F56885B-3758-476E-ACFE-80D1BE00F13B,FK2323MCAM2AA01AE,2023-06-16 17:54:35,2023-06-16 17:58:03,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.564,0.000000,PASS,PASS,0,4F56885B-3758-476E-ACFE-80D1BE00F13B,FK2323MCAM2AA01AE,2023-06-16 17:54:35,2023-06-16 17:58:03,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,4F56885B-3758-476E-ACFE-80D1BE00F13B,FK2323MCAM2AA01AE,2023-06-16 17:54:35,2023-06-16 17:58:03,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.092348,PASS,PASS,0,4F56885B-3758-476E-ACFE-80D1BE00F13B,FK2323MCAM2AA01AE,2023-06-16 17:54:35,2023-06-16 17:58:03,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,25.000,1.126338,PASS,PASS,0,4F56885B-3758-476E-ACFE-80D1BE00F13B,FK2323MCAM2AA01AE,2023-06-16 17:54:35,2023-06-16 17:58:03,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.100000,0.695038,PASS,PASS,0,4F56885B-3758-476E-ACFE-80D1BE00F13B,FK2323MCAM2AA01AE,2023-06-16 17:54:35,2023-06-16 17:58:03,STQ236YM4103,monolith_cassette_ft,10023023
