record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.004988,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.230239,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.895488,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.933444,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.100361,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.560,0.000000,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.101366,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,27.000,1.135337,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,90.400000,0.695677,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,2.999863,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000611,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-19.781944,3.072510,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.097375,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-28.063614,3.065385,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,3.059501,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-26.191475,3.062366,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
18,LTE_23179_Frequency,0.7155,0.7165,GHz,0.715950,3.033405,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
19,factory_mode_off,PASS,PASS,,PASS,3.000603,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
20,modem_enable_status,PASS,PASS,,PASS,0.897479,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
21,NFC_IN_Status,PASS,PASS,,PASS,0.111936,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
22,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.106369,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
23,NFC_Detect_Measurement,PASS,PASS,,PASS,1.099372,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
24,Set_modem_on,PASS,PASS,,PASS,1.092360,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
25,Check_network_connected,PASS,PASS,,PASS,1.085378,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
26,IMEI,1.00E+14,1.00E+15,,869965065815601,0.891475,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
27,ICCID,1.00E+19,1.00E+20,,89430301722230455881,0.900486,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
28,opmode_clear_forced_state,PASS,PASS,,PASS,1.109357,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
29,Enter_Shipmode,PASS,PASS,,PASS,1.095384,PASS,PASS,0,87C73057-6989-47F5-89CF-AF8BDD0FC20D,FK2323MCAM2AA01C9,2023-06-17 09:02:52,2023-06-17 09:06:20,STQ236YM4103,monolith_cassette_ft,10023023
