record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.006012,PASS,PASS,0,F2E9BE8E-BCB2-4527-9D46-A1D637A7E793,FK2323MCAM2AA01F1,2023-06-17 13:25:01,2023-06-17 13:28:29,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.219302,PASS,PASS,0,F2E9BE8E-BCB2-4527-9D46-A1D637A7E793,FK2323MCAM2AA01F1,2023-06-17 13:25:01,2023-06-17 13:28:29,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.899470,PASS,PASS,0,F2E9BE8E-BCB2-4527-9D46-A1D637A7E793,FK2323MCAM2AA01F1,2023-06-17 13:25:01,2023-06-17 13:28:29,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.919465,PASS,PASS,0,F2E9BE8E-BCB2-4527-9D46-A1D637A7E793,FK2323MCAM2AA01F1,2023-06-17 13:25:01,2023-06-17 13:28:29,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.086366,PASS,PASS,0,F2E9BE8E-BCB2-4527-9D46-A1D637A7E793,FK2323MCAM2AA01F1,2023-06-17 13:25:01,2023-06-17 13:28:29,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.561,0.000000,PASS,PASS,0,F2E9BE8E-BCB2-4527-9D46-A1D637A7E793,FK2323MCAM2AA01F1,2023-06-17 13:25:01,2023-06-17 13:28:29,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,F2E9BE8E-BCB2-4527-9D46-A1D637A7E793,FK2323MCAM2AA01F1,2023-06-17 13:25:01,2023-06-17 13:28:29,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.098378,PASS,PASS,0,F2E9BE8E-BCB2-4527-9D46-A1D637A7E793,FK2323MCAM2AA01F1,2023-06-17 13:25:01,2023-06-17 13:28:29,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,26.000,1.130339,PASS,PASS,0,F2E9BE8E-BCB2-4527-9D46-A1D637A7E793,FK2323MCAM2AA01F1,2023-06-17 13:25:01,2023-06-17 13:28:29,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,91.400000,0.695029,PASS,PASS,0,F2E9BE8E-BCB2-4527-9D46-A1D637A7E793,FK2323MCAM2AA01F1,2023-06-17 13:25:01,2023-06-17 13:28:29,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000739,PASS,PASS,0,F2E9BE8E-BCB2-4527-9D46-A1D637A7E793,FK2323MCAM2AA01F1,2023-06-17 13:25:01,2023-06-17 13:28:29,STQ236YM4103,monolith_cassette_ft,10023023
