record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.005996,PASS,PASS,0,A9B405FC-8B30-4903-AEA1-8D9E41192B34,FK2323MCAM2AA01FE,2023-06-17 14:09:33,2023-06-17 14:13:03,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.226289,PASS,PASS,0,A9B405FC-8B30-4903-AEA1-8D9E41192B34,FK2323MCAM2AA01FE,2023-06-17 14:09:33,2023-06-17 14:13:03,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.906478,PASS,PASS,0,A9B405FC-8B30-4903-AEA1-8D9E41192B34,FK2323MCAM2AA01FE,2023-06-17 14:09:33,2023-06-17 14:13:03,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.969412,PASS,PASS,0,A9B405FC-8B30-4903-AEA1-8D9E41192B34,FK2323MCAM2AA01FE,2023-06-17 14:09:33,2023-06-17 14:13:03,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.090366,PASS,PASS,0,A9B405FC-8B30-4903-AEA1-8D9E41192B34,FK2323MCAM2AA01FE,2023-06-17 14:09:33,2023-06-17 14:13:03,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.591,0.000000,PASS,PASS,0,A9B405FC-8B30-4903-AEA1-8D9E41192B34,FK2323MCAM2AA01FE,2023-06-17 14:09:33,2023-06-17 14:13:03,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,A9B405FC-8B30-4903-AEA1-8D9E41192B34,FK2323MCAM2AA01FE,2023-06-17 14:09:33,2023-06-17 14:13:03,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.092356,PASS,PASS,0,A9B405FC-8B30-4903-AEA1-8D9E41192B34,FK2323MCAM2AA01FE,2023-06-17 14:09:33,2023-06-17 14:13:03,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,27.000,1.122336,PASS,PASS,0,A9B405FC-8B30-4903-AEA1-8D9E41192B34,FK2323MCAM2AA01FE,2023-06-17 14:09:33,2023-06-17 14:13:03,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,91.800000,0.696689,PASS,PASS,0,A9B405FC-8B30-4903-AEA1-8D9E41192B34,FK2323MCAM2AA01FE,2023-06-17 14:09:33,2023-06-17 14:13:03,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,2.999758,PASS,PASS,0,A9B405FC-8B30-4903-AEA1-8D9E41192B34,FK2323MCAM2AA01FE,2023-06-17 14:09:33,2023-06-17 14:13:03,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,2.999814,PASS,PASS,0,A9B405FC-8B30-4903-AEA1-8D9E41192B34,FK2323MCAM2AA01FE,2023-06-17 14:09:33,2023-06-17 14:13:03,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-19.018202,3.064370,PASS,PASS,0,A9B405FC-8B30-4903-AEA1-8D9E41192B34,FK2323MCAM2AA01FE,2023-06-17 14:09:33,2023-06-17 14:13:03,STQ236YM4103,monolith_cassette_ft,10023023
