record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.012058,PASS,FAIL,201044,F503F8F9-2D23-4E12-8405-8DD23BD7C6EA,FK2323MCAM2AA0019,2023-06-09 16:31:30,2023-06-09 16:33:44,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.227303,PASS,FAIL,201044,F503F8F9-2D23-4E12-8405-8DD23BD7C6EA,FK2323MCAM2AA0019,2023-06-09 16:31:30,2023-06-09 16:33:44,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.884487,PASS,FAIL,201044,F503F8F9-2D23-4E12-8405-8DD23BD7C6EA,FK2323MCAM2AA0019,2023-06-09 16:31:30,2023-06-09 16:33:44,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.931454,PASS,FAIL,201044,F503F8F9-2D23-4E12-8405-8DD23BD7C6EA,FK2323MCAM2AA0019,2023-06-09 16:31:30,2023-06-09 16:33:44,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.093376,PASS,FAIL,201044,F503F8F9-2D23-4E12-8405-8DD23BD7C6EA,FK2323MCAM2AA0019,2023-06-09 16:31:30,2023-06-09 16:33:44,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.546,0.000000,PASS,FAIL,201044,F503F8F9-2D23-4E12-8405-8DD23BD7C6EA,FK2323MCAM2AA0019,2023-06-09 16:31:30,2023-06-09 16:33:44,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,201044,F503F8F9-2D23-4E12-8405-8DD23BD7C6EA,FK2323MCAM2AA0019,2023-06-09 16:31:30,2023-06-09 16:33:44,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.083378,PASS,FAIL,201044,F503F8F9-2D23-4E12-8405-8DD23BD7C6EA,FK2323MCAM2AA0019,2023-06-09 16:31:30,2023-06-09 16:33:44,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,24.000,1.115362,PASS,FAIL,201044,F503F8F9-2D23-4E12-8405-8DD23BD7C6EA,FK2323MCAM2AA0019,2023-06-09 16:31:30,2023-06-09 16:33:44,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.300000,0.699716,PASS,FAIL,201044,F503F8F9-2D23-4E12-8405-8DD23BD7C6EA,FK2323MCAM2AA0019,2023-06-09 16:31:30,2023-06-09 16:33:44,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000741,PASS,FAIL,201044,F503F8F9-2D23-4E12-8405-8DD23BD7C6EA,FK2323MCAM2AA0019,2023-06-09 16:31:30,2023-06-09 16:33:44,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,9.312638,PASS,FAIL,201044,F503F8F9-2D23-4E12-8405-8DD23BD7C6EA,FK2323MCAM2AA0019,2023-06-09 16:31:30,2023-06-09 16:33:44,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-44,4,dBm,-21.902369,3.065794,PASS,FAIL,201044,F503F8F9-2D23-4E12-8405-8DD23BD7C6EA,FK2323MCAM2AA0019,2023-06-09 16:31:30,2023-06-09 16:33:44,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.909950,3.026597,PASS,FAIL,201044,F503F8F9-2D23-4E12-8405-8DD23BD7C6EA,FK2323MCAM2AA0019,2023-06-09 16:31:30,2023-06-09 16:33:44,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-44,4,dBm,-44.296227,3.030652,FAIL,FAIL,201044,F503F8F9-2D23-4E12-8405-8DD23BD7C6EA,FK2323MCAM2AA0019,2023-06-09 16:31:30,2023-06-09 16:33:44,STQ236YM4103,monolith_cassette_ft,10023023
