record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.007997,PASS,PASS,0,D054A5F3-DCE3-4105-9241-D064BA80E5D6,FK2323MCAM2AA002E,2023-06-10 17:42:59,2023-06-10 17:45:52,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.217252,PASS,PASS,0,D054A5F3-DCE3-4105-9241-D064BA80E5D6,FK2323MCAM2AA002E,2023-06-10 17:42:59,2023-06-10 17:45:52,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.891480,PASS,PASS,0,D054A5F3-DCE3-4105-9241-D064BA80E5D6,FK2323MCAM2AA002E,2023-06-10 17:42:59,2023-06-10 17:45:52,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.915495,PASS,PASS,0,D054A5F3-DCE3-4105-9241-D064BA80E5D6,FK2323MCAM2AA002E,2023-06-10 17:42:59,2023-06-10 17:45:52,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.083418,PASS,PASS,0,D054A5F3-DCE3-4105-9241-D064BA80E5D6,FK2323MCAM2AA002E,2023-06-10 17:42:59,2023-06-10 17:45:52,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.540,0.000000,PASS,PASS,0,D054A5F3-DCE3-4105-9241-D064BA80E5D6,FK2323MCAM2AA002E,2023-06-10 17:42:59,2023-06-10 17:45:52,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,D054A5F3-DCE3-4105-9241-D064BA80E5D6,FK2323MCAM2AA002E,2023-06-10 17:42:59,2023-06-10 17:45:52,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.095361,PASS,PASS,0,D054A5F3-DCE3-4105-9241-D064BA80E5D6,FK2323MCAM2AA002E,2023-06-10 17:42:59,2023-06-10 17:45:52,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,25.000,1.121341,PASS,PASS,0,D054A5F3-DCE3-4105-9241-D064BA80E5D6,FK2323MCAM2AA002E,2023-06-10 17:42:59,2023-06-10 17:45:52,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.200000,0.698911,PASS,PASS,0,D054A5F3-DCE3-4105-9241-D064BA80E5D6,FK2323MCAM2AA002E,2023-06-10 17:42:59,2023-06-10 17:45:52,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,2.999475,PASS,PASS,0,D054A5F3-DCE3-4105-9241-D064BA80E5D6,FK2323MCAM2AA002E,2023-06-10 17:42:59,2023-06-10 17:45:52,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000715,PASS,PASS,0,D054A5F3-DCE3-4105-9241-D064BA80E5D6,FK2323MCAM2AA002E,2023-06-10 17:42:59,2023-06-10 17:45:52,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-44,4,dBm,-15.875206,3.069509,PASS,PASS,0,D054A5F3-DCE3-4105-9241-D064BA80E5D6,FK2323MCAM2AA002E,2023-06-10 17:42:59,2023-06-10 17:45:52,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.909950,3.063282,PASS,PASS,0,D054A5F3-DCE3-4105-9241-D064BA80E5D6,FK2323MCAM2AA002E,2023-06-10 17:42:59,2023-06-10 17:45:52,STQ236YM4103,monolith_cassette_ft,10023023
