record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.018005,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.231277,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.91046,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.924472,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.089374,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.557,0.0,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.0,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.093376,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,26.000,1.12036,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,92.300000,0.698568,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.001338,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000323,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-18.212856,3.03626,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.060277,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-36.999016,3.063211,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699050,3.063273,PASS,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-33.311787,3.029307,FAIL,FAIL,201046,1AAC518F-3C44-4C0E-8D7E-8602090FE952,FK2323MCAM2AA009D,2023-06-14 14:45:48,2023-06-14 14:48:33,STQ236YM4103,monolith_cassette_ft,10023023
