record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.017041,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.215289,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.888494,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.924469,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.088375,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.573,0.0,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.0,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.092355,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,28.000,1.118366,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.000000,0.692609,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000297,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.0003,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-19.231190,3.063468,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.032357,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-26.368084,3.064289,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699050,3.065244,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-27.230843,3.065366,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
18,LTE_23179_Frequency,0.7155,0.7165,GHz,0.716000,3.065261,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
19,factory_mode_off,PASS,PASS,,PASS,3.00009,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
20,modem_enable_status,PASS,PASS,,PASS,0.879487,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
21,NFC_IN_Status,PASS,PASS,,PASS,0.100942,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
22,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.092372,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
23,NFC_Detect_Measurement,PASS,PASS,,PASS,1.086383,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
24,Set_modem_on,PASS,PASS,,PASS,1.078369,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
25,Check_network_connected,PASS,PASS,,PASS,1.08438,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
26,IMEI,1.00E+14,1.00E+15,,869965065813192,0.882489,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
27,ICCID,1.00E+19,1.00E+20,,89430301722235533906,0.891507,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
28,opmode_clear_forced_state,PASS,PASS,,PASS,1.08638,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
29,Enter_Shipmode,PASS,PASS,,PASS,1.083386,PASS,PASS,0,0FFF81A3-130E-4F2E-9FD8-E47EAFF80AA0,FK2323MCAM2AA00E9,2023-06-15 10:03:46,2023-06-15 10:07:12,STQ236YM4103,monolith_cassette_ft,10023023
