record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.017023,PASS,PASS,0,4217545A-58B2-4943-9198-A13A934A62E2,FK2323MCAM2AA00EB,2023-06-15 10:39:41,2023-06-15 10:43:09,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.221253,PASS,PASS,0,4217545A-58B2-4943-9198-A13A934A62E2,FK2323MCAM2AA00EB,2023-06-15 10:39:41,2023-06-15 10:43:09,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.882485,PASS,PASS,0,4217545A-58B2-4943-9198-A13A934A62E2,FK2323MCAM2AA00EB,2023-06-15 10:39:41,2023-06-15 10:43:09,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.923491,PASS,PASS,0,4217545A-58B2-4943-9198-A13A934A62E2,FK2323MCAM2AA00EB,2023-06-15 10:39:41,2023-06-15 10:43:09,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.091377,PASS,PASS,0,4217545A-58B2-4943-9198-A13A934A62E2,FK2323MCAM2AA00EB,2023-06-15 10:39:41,2023-06-15 10:43:09,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.577,0.0,PASS,PASS,0,4217545A-58B2-4943-9198-A13A934A62E2,FK2323MCAM2AA00EB,2023-06-15 10:39:41,2023-06-15 10:43:09,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.0,PASS,PASS,0,4217545A-58B2-4943-9198-A13A934A62E2,FK2323MCAM2AA00EB,2023-06-15 10:39:41,2023-06-15 10:43:09,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.099382,PASS,PASS,0,4217545A-58B2-4943-9198-A13A934A62E2,FK2323MCAM2AA00EB,2023-06-15 10:39:41,2023-06-15 10:43:09,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,27.000,1.115344,PASS,PASS,0,4217545A-58B2-4943-9198-A13A934A62E2,FK2323MCAM2AA00EB,2023-06-15 10:39:41,2023-06-15 10:43:09,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,91.700000,0.700596,PASS,PASS,0,4217545A-58B2-4943-9198-A13A934A62E2,FK2323MCAM2AA00EB,2023-06-15 10:39:41,2023-06-15 10:43:09,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000323,PASS,PASS,0,4217545A-58B2-4943-9198-A13A934A62E2,FK2323MCAM2AA00EB,2023-06-15 10:39:41,2023-06-15 10:43:09,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000315,PASS,PASS,0,4217545A-58B2-4943-9198-A13A934A62E2,FK2323MCAM2AA00EB,2023-06-15 10:39:41,2023-06-15 10:43:09,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-17.791168,3.029351,PASS,PASS,0,4217545A-58B2-4943-9198-A13A934A62E2,FK2323MCAM2AA00EB,2023-06-15 10:39:41,2023-06-15 10:43:09,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.059312,PASS,PASS,0,4217545A-58B2-4943-9198-A13A934A62E2,FK2323MCAM2AA00EB,2023-06-15 10:39:41,2023-06-15 10:43:09,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-32.205811,3.071283,PASS,PASS,0,4217545A-58B2-4943-9198-A13A934A62E2,FK2323MCAM2AA00EB,2023-06-15 10:39:41,2023-06-15 10:43:09,STQ236YM4103,monolith_cassette_ft,10023023
