record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.014089,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.223317,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.904505,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.947459,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.098371,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.570,0.0,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.0,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.095361,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,28.000,1.119421,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,92.400000,0.694367,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000599,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000107,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-19.469677,3.037257,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.909950,3.059542,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-28.664196,3.073029,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,3.039191,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-25.945850,3.031714,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
18,LTE_23179_Frequency,0.7155,0.7165,GHz,0.716000,3.025241,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
19,factory_mode_off,PASS,PASS,,PASS,3.000012,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
20,modem_enable_status,PASS,PASS,,PASS,0.881514,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
21,NFC_IN_Status,PASS,PASS,,PASS,0.102277,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
22,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.089377,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
23,NFC_Detect_Measurement,PASS,PASS,,PASS,1.085398,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
24,Set_modem_on,PASS,PASS,,PASS,1.083361,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
25,Check_network_connected,PASS,PASS,,PASS,1.087375,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
26,IMEI,1.00E+14,1.00E+15,,869965065810487,0.891474,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
27,ICCID,1.00E+19,1.00E+20,,89430301722235531959,0.894478,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
28,opmode_clear_forced_state,PASS,PASS,,PASS,1.089363,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
29,Enter_Shipmode,PASS,PASS,,PASS,1.091361,PASS,PASS,0,CB2E5BC8-D968-43F3-B7E6-91092B7885B8,FK2323MCAM2AA010C,2023-06-15 14:04:07,2023-06-15 14:07:33,STQ236YM4103,monolith_cassette_ft,10023023
