record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.015067,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.209299,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.896461,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.926456,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.085397,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.557,0.0,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.0,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.094355,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,26.000,1.129335,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.000000,0.699995,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000292,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000214,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-20.135044,3.068964,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.02978,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-28.076260,3.06291,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699050,3.030072,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-27.316559,3.063361,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
18,LTE_23179_Frequency,0.7155,0.7165,GHz,0.716000,3.058569,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
19,factory_mode_off,PASS,PASS,,PASS,2.999455,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
20,modem_enable_status,PASS,PASS,,PASS,0.879484,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
21,NFC_IN_Status,PASS,PASS,,PASS,0.100891,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
22,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.091383,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
23,NFC_Detect_Measurement,PASS,PASS,,PASS,1.092361,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
24,Set_modem_on,PASS,PASS,,PASS,1.084398,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
25,Check_network_connected,PASS,PASS,,PASS,1.086369,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
26,IMEI,1.00E+14,1.00E+15,,869965065816112,0.8785,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
27,ICCID,1.00E+19,1.00E+20,,89430301722230455550,0.883494,PASS,PASS,0,99BC1200-1F4E-4CE2-A12E-40A18985252A,FK2323MCAM2AA0109,2023-06-15 14:26:04,2023-06-15 14:29:33,STQ236YM4103,monolith_cassette_ft,10023023
