record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.005995,PASS,PASS,0,4B1FF616-E3B1-4BBC-9307-24460B3001B5,FK2323MCAM2AA01B1,2023-06-17 08:15:27,2023-06-17 08:18:57,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.260286,PASS,PASS,0,4B1FF616-E3B1-4BBC-9307-24460B3001B5,FK2323MCAM2AA01B1,2023-06-17 08:15:27,2023-06-17 08:18:57,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.903492,PASS,PASS,0,4B1FF616-E3B1-4BBC-9307-24460B3001B5,FK2323MCAM2AA01B1,2023-06-17 08:15:27,2023-06-17 08:18:57,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.938461,PASS,PASS,0,4B1FF616-E3B1-4BBC-9307-24460B3001B5,FK2323MCAM2AA01B1,2023-06-17 08:15:27,2023-06-17 08:18:57,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.095363,PASS,PASS,0,4B1FF616-E3B1-4BBC-9307-24460B3001B5,FK2323MCAM2AA01B1,2023-06-17 08:15:27,2023-06-17 08:18:57,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.595,0.000000,PASS,PASS,0,4B1FF616-E3B1-4BBC-9307-24460B3001B5,FK2323MCAM2AA01B1,2023-06-17 08:15:27,2023-06-17 08:18:57,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,4B1FF616-E3B1-4BBC-9307-24460B3001B5,FK2323MCAM2AA01B1,2023-06-17 08:15:27,2023-06-17 08:18:57,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.091362,PASS,PASS,0,4B1FF616-E3B1-4BBC-9307-24460B3001B5,FK2323MCAM2AA01B1,2023-06-17 08:15:27,2023-06-17 08:18:57,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,24.000,1.122354,PASS,PASS,0,4B1FF616-E3B1-4BBC-9307-24460B3001B5,FK2323MCAM2AA01B1,2023-06-17 08:15:27,2023-06-17 08:18:57,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.100000,0.694829,PASS,PASS,0,4B1FF616-E3B1-4BBC-9307-24460B3001B5,FK2323MCAM2AA01B1,2023-06-17 08:15:27,2023-06-17 08:18:57,STQ236YM4103,monolith_cassette_ft,10023023
