record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.016993,PASS,PASS,0,51DF2DD1-4BB6-418D-AB4B-9CE6D0C016AB,FK2323MCAM2AA0163,2023-06-16 09:48:52,2023-06-16 09:52:20,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.229246,PASS,PASS,0,51DF2DD1-4BB6-418D-AB4B-9CE6D0C016AB,FK2323MCAM2AA0163,2023-06-16 09:48:52,2023-06-16 09:52:20,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.888490,PASS,PASS,0,51DF2DD1-4BB6-418D-AB4B-9CE6D0C016AB,FK2323MCAM2AA0163,2023-06-16 09:48:52,2023-06-16 09:52:20,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.929469,PASS,PASS,0,51DF2DD1-4BB6-418D-AB4B-9CE6D0C016AB,FK2323MCAM2AA0163,2023-06-16 09:48:52,2023-06-16 09:52:20,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.098362,PASS,PASS,0,51DF2DD1-4BB6-418D-AB4B-9CE6D0C016AB,FK2323MCAM2AA0163,2023-06-16 09:48:52,2023-06-16 09:52:20,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.570,0.000000,PASS,PASS,0,51DF2DD1-4BB6-418D-AB4B-9CE6D0C016AB,FK2323MCAM2AA0163,2023-06-16 09:48:52,2023-06-16 09:52:20,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,51DF2DD1-4BB6-418D-AB4B-9CE6D0C016AB,FK2323MCAM2AA0163,2023-06-16 09:48:52,2023-06-16 09:52:20,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.096358,PASS,PASS,0,51DF2DD1-4BB6-418D-AB4B-9CE6D0C016AB,FK2323MCAM2AA0163,2023-06-16 09:48:52,2023-06-16 09:52:20,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,28.000,1.122345,PASS,PASS,0,51DF2DD1-4BB6-418D-AB4B-9CE6D0C016AB,FK2323MCAM2AA0163,2023-06-16 09:48:52,2023-06-16 09:52:20,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,90.600000,0.694598,PASS,PASS,0,51DF2DD1-4BB6-418D-AB4B-9CE6D0C016AB,FK2323MCAM2AA0163,2023-06-16 09:48:52,2023-06-16 09:52:20,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,2.999317,PASS,PASS,0,51DF2DD1-4BB6-418D-AB4B-9CE6D0C016AB,FK2323MCAM2AA0163,2023-06-16 09:48:52,2023-06-16 09:52:20,STQ236YM4103,monolith_cassette_ft,10023023
