record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.726,9.105114,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,32.4492,0.0,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.610044,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.088363,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.35682,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.093531,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,3.06765,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.094374,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.277421,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.091376,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.536442,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.096387,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.251561,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.223248,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.091374,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.212061,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.085365,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.092393,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,296.454004,4.289506,PASS,PASS,0,b852c9ea-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01E4,2023-06-02 16:11:48,2023-06-02 16:15:04,STQ236YM3101,monolith_receiver_ft,10023006
