record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.747,9.145545,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.081,0.0,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.361834,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.088437,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.062085,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.094038,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.31187,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.093395,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.338857,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.087376,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,5.048818,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.099372,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,4.809002,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.223298,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.191985,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.323195,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.13835,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.091377,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,259.377879,4.332343,PASS,PASS,0,b8a3b3e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EE,2023-06-02 16:40:21,2023-06-02 16:43:42,STQ236YM3101,monolith_receiver_ft,10023006
