record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.689,9.134016,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.25,0.0,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.302262,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.095361,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.341344,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.088381,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.021455,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.089442,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.714549,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.0901,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.415704,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.093378,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,2.868563,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.212287,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.086326,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.757979,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.090744,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.093375,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,266.849713,4.282851,PASS,PASS,0,b9359a86-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01D0,2023-06-02 18:57:59,2023-06-02 19:01:12,STQ236YM3101,monolith_receiver_ft,10023006
