record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.708,9.120407,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.3947,0.0,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.243908,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.106765,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.146119,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.10541,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.790243,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.108369,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.030721,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.095391,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.61909,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.113349,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.101811,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,2.04178,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.112309,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.228248,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.148334,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.10437,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,263.366724,4.335845,PASS,PASS,0,b889c008-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01FA,2023-06-03 08:10:16,2023-06-03 08:13:30,STQ236YM3101,monolith_receiver_ft,10023006
