record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.737,9.195127,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.2577,0.0,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.268256,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.111399,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,0.870135,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.106367,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.891795,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.109364,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.942759,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.109365,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.028446,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.12554,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,2.184867,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.226584,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,23,1.254287,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.37921,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.102319,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.110843,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,301.084697,4.335526,PASS,PASS,0,b8931d2e-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B6,2023-06-03 12:11:03,2023-06-03 12:14:09,STQ236YM3101,monolith_receiver_ft,10023006
