record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.719,9.112659,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.6948,0.0,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.255896,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.084719,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,3.95389,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.085374,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.597546,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.085655,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.693745,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.084371,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.861578,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.090409,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.218158,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.210591,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,14,1.197336,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.218106,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.137307,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.081573,PASS,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,362.070803,4.334256,FAIL,FAIL,230051,b8683a14-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DB,2023-06-06 11:42:00,2023-06-06 11:46:00,STQ236YM3101,monolith_receiver_ft,10023006
