record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.717,9.091565,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.9639,0.0,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.265282,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.095208,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.40588,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.083179,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.149742,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.086135,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.00141,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.083816,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.265939,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.085576,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.706707,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.205933,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.1365,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.08949,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.134195,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.088861,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,263.811840,4.287925,PASS,PASS,0,b802af28-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DF,2023-06-06 12:15:06,2023-06-06 12:18:15,STQ236YM3101,monolith_receiver_ft,10023006
