record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.717,9.108452,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.2137,0.0,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.30045,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.091541,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.168132,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.088364,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.857643,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.090569,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.380739,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,2.056933,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.391922,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.090113,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.21823,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.219755,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.093554,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.084819,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.135134,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.250476,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,225.016063,4.284186,PASS,PASS,0,b9b025a8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00DE,2023-06-06 12:19:20,2023-06-06 12:22:26,STQ236YM3101,monolith_receiver_ft,10023006
