record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.73,9.108118,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.5111,0.0,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.297763,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.087638,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,13.62654,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.220635,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.212624,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.088168,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,2.055226,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.088655,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.599464,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.086574,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,2.62991,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.207145,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,20,1.243524,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.092845,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.132513,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.08918,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,248.965963,4.287918,PASS,PASS,0,b9691e6a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00ED,2023-06-06 12:39:38,2023-06-06 12:43:04,STQ236YM3101,monolith_receiver_ft,10023006
