record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.714,9.161307,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.684,0.0,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.301224,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.093505,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.273281,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.098644,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.849588,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.758382,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,3.165498,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.094936,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.025563,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.100696,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,2.649529,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.216137,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,21,1.139907,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.219306,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.14439,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.10163,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,259.619283,4.28498,PASS,PASS,0,b93dd368-0717-11ee-be4d-acde48001122,FK2322MRCM2AA009C,2023-06-06 16:58:41,2023-06-06 17:02:04,STQ236YM3101,monolith_receiver_ft,10023006
