record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.716,9.145304,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,28.9367,0.0,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.29063,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.088854,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.221978,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.10115,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,2.781661,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.097371,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.791892,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.095365,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.931455,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.098574,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.881611,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.216763,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.091485,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.213231,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.133831,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.08439,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,280.267960,4.284745,PASS,PASS,0,b8ba81fc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A7,2023-06-06 17:33:11,2023-06-06 17:36:31,STQ236YM3101,monolith_receiver_ft,10023006
