record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.763,9.198623,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.2484,0.0,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.27635,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.106481,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.035594,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.104255,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.387083,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.10201,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.294445,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.099662,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.672015,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.097995,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.692236,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.22269,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.0934,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.093126,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.09271,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.096862,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,271.507449,4.288528,PASS,PASS,0,b91217e6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA006F,2023-06-07 10:04:58,2023-06-07 10:08:04,STQ236YM3101,monolith_receiver_ft,10023006
