record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.722,9.207273,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.6295,0.0,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.309972,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.101252,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.200512,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.114985,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.969137,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.103431,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.989447,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.09915,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,0.972701,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.093658,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.21545,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.23255,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,20,1.104513,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.714326,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,22,1.108822,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.105487,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,269.628896,4.335478,PASS,PASS,0,b86ae16a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001A,2023-06-07 15:58:29,2023-06-07 16:01:36,STQ236YM3101,monolith_receiver_ft,10023006
