record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.747,9.225955,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.6911,0.0,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.322636,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.102253,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,4.859679,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.258903,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.633153,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.098501,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.746308,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.111281,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.431982,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.114564,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,2.337204,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.225235,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.19369,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.212295,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.138258,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.216332,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,253.999717,4.334895,PASS,PASS,0,b8499172-0717-11ee-be4d-acde48001122,FK2322MRCM2AA003D,2023-06-07 17:01:59,2023-06-07 17:05:25,STQ236YM3101,monolith_receiver_ft,10023006
