record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.719,9.241685,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.8986,0.0,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.310695,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.10361,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,3.207061,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.104359,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.994841,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.10037,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.969414,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.107445,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.539743,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.103242,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.979788,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.22478,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,23,1.25604,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.101383,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.097977,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.090736,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,220.489566,4.331409,PASS,PASS,0,b8427310-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0038,2023-06-07 17:29:01,2023-06-07 17:32:17,STQ236YM3101,monolith_receiver_ft,10023006
