record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.714,11.383154,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.207,0.000000,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.619970,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.105360,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.043225,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.107375,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.352424,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.109892,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.935665,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.097286,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.596392,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.094061,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.427054,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,FAIL,21.092464,FAIL,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,1,1.232445,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.222836,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,25,1.140140,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.096898,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,241.064646,4.335840,PASS,FAIL,0,27100541-85AA-4294-95E4-0BD3B695D285,1,2023-06-21 14:43:25,2023-06-21 14:47:11,,monolith_receiver_ft,10023006
