record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.738,9.229759,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.4612,0.000000,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.303542,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.104184,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.000634,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.090873,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.969410,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.095765,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.804813,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.190139,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.152679,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.091377,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.471544,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.217797,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,28,1.098384,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.094790,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.088584,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.089955,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,227.881399,4.286538,PASS,PASS,0,0FBE9DDF-860A-4C52-94FA-F39AB2B5552C,FK2322MRCM2AA01C2,2023-06-23 13:55:36,2023-06-23 13:58:45,RTQ236YM3301,monolith_receiver_ft,10023006
