record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.735,9.243449,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.2533,0.000000,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.305234,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.101372,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.270340,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.093912,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.029806,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.091376,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.362273,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,2.014863,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.010527,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.096566,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.346549,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.217131,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,28,1.106334,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.097354,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.139351,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.300256,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,231.070070,4.332569,PASS,PASS,0,335576FB-E017-4CE0-B01A-8191D0BB979C,FK2322MRCM2AA01CA,2023-06-23 17:06:19,2023-06-23 17:09:26,RTQ236YM3301,monolith_receiver_ft,10023006
