record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.738,9.208537,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.8719,0.000000,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.245658,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.095391,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,0.813815,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.098356,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.995394,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.094019,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.101002,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.091871,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,0.939441,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.093738,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.959475,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.222832,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,20,1.144814,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.086540,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.140996,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.101582,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,260.060450,4.286455,PASS,PASS,0,725EEB34-5474-4522-BA6E-D0BCF7821FF5,FK2322MRCM2AA00BE,2023-06-27 10:22:55,2023-06-27 10:25:55,RTQ236YM3401,monolith_receiver_ft,10023006
