record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.722,9.151124,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,31.4005,0.0,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.261259,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.105403,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.749555,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.085088,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.759316,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.096561,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.799861,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.094369,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.436429,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.098359,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.891119,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.221288,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,21,1.187267,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.210903,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.138295,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.092375,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,300.936540,4.333989,PASS,PASS,0,b91a172a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DD,2023-06-02 16:45:17,2023-06-02 16:48:35,STQ236YM3101,monolith_receiver_ft,10023006
