record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.704,9.546227,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.8649,0.0,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.321497,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.085656,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.158006,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.096359,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.907456,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.086371,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.94042,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.095382,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,4.190623,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.094376,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.278909,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,2.22071,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.086341,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.211267,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.141361,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.087378,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,193.238557,4.285028,PASS,PASS,0,b89fa3f0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01ED,2023-06-03 08:00:41,2023-06-03 08:03:57,STQ236YM3101,monolith_receiver_ft,10023006
