record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.722,9.129868,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.3833,0.0,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.253071,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.088376,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.013979,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.09639,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.079603,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.094376,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.919614,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.096378,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,4.214591,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.093373,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.800358,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.218214,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,21,1.086406,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.709974,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.163334,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.103368,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,303.042793,4.286103,PASS,PASS,0,b9a16c34-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B8,2023-06-03 09:50:23,2023-06-03 09:53:35,STQ236YM3101,monolith_receiver_ft,10023006
