record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.699,9.184857,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.9759,0.0,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.272299,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.09237,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.942958,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.113343,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.850342,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.11335,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.225079,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.101368,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.39216,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.107039,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,2.464549,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.244236,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,23,1.21329,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,2.406573,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.103317,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.105295,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,265.891326,4.287065,PASS,PASS,0,b994dbf4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01EB,2023-06-03 10:30:02,2023-06-03 10:33:13,STQ236YM3101,monolith_receiver_ft,10023006
