record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.71,9.20193,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,28.9241,0.0,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.276253,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.107359,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.612117,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.113351,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.282525,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.11774,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.55489,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.106912,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.681979,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.109365,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,2.917911,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.242287,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.215309,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.231797,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.161285,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.102368,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,266.332906,4.33421,PASS,PASS,0,b80ad66c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AB,2023-06-03 10:39:27,2023-06-03 10:42:56,STQ236YM3101,monolith_receiver_ft,10023006
