record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.721,9.143354,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,31.5425,0.0,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.301363,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.10361,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.732529,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.104914,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.025924,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.094375,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.060111,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.093384,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.33169,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.092373,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.130896,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.218313,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.097334,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.09632,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.145329,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.10739,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,251.804877,4.285946,PASS,PASS,0,b9411974-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01AF,2023-06-03 11:36:51,2023-06-03 11:39:57,STQ236YM3101,monolith_receiver_ft,10023006
