record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.713,9.195226,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.427,0.0,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.273252,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.104369,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.227139,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.095105,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.158292,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.099041,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.816602,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.10237,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,5.480421,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.103369,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.482866,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.226248,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.096376,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.098486,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.147103,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.111368,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,224.713641,4.285271,PASS,PASS,0,b8e97c8c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016D,2023-06-03 16:37:23,2023-06-03 16:40:40,STQ236YM3101,monolith_receiver_ft,10023006
