record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.716,9.129022,PASS,FAIL,230021,b8048bc2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA015F,2023-06-03 18:50:13,2023-06-03 18:51:42,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,31.972,0.0,PASS,FAIL,230021,b8048bc2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA015F,2023-06-03 18:50:13,2023-06-03 18:51:42,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.255352,PASS,FAIL,230021,b8048bc2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA015F,2023-06-03 18:50:13,2023-06-03 18:51:42,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.098372,PASS,FAIL,230021,b8048bc2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA015F,2023-06-03 18:50:13,2023-06-03 18:51:42,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.63827,PASS,FAIL,230021,b8048bc2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA015F,2023-06-03 18:50:13,2023-06-03 18:51:42,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.103369,PASS,FAIL,230021,b8048bc2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA015F,2023-06-03 18:50:13,2023-06-03 18:51:42,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.140733,PASS,FAIL,230021,b8048bc2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA015F,2023-06-03 18:50:13,2023-06-03 18:51:42,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.108376,PASS,FAIL,230021,b8048bc2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA015F,2023-06-03 18:50:13,2023-06-03 18:51:42,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.003753,PASS,FAIL,230021,b8048bc2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA015F,2023-06-03 18:50:13,2023-06-03 18:51:42,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.094366,PASS,FAIL,230021,b8048bc2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA015F,2023-06-03 18:50:13,2023-06-03 18:51:42,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,FAIL,6.219741,FAIL,FAIL,230021,b8048bc2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA015F,2023-06-03 18:50:13,2023-06-03 18:51:42,STQ236YM3101,monolith_receiver_ft,10023006
