record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.715,9.132637,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.9454,0.0,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.288707,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.09937,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.089539,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.088363,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.048306,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.149323,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.759854,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.093373,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.633391,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.096376,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.489733,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.216286,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,19,1.187678,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.103316,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.117307,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.109378,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,226.810229,4.29117,PASS,PASS,0,b7fca3bc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA011E,2023-06-05 14:57:44,2023-06-05 15:00:47,STQ236YM3101,monolith_receiver_ft,10023006
