record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.706,9.125848,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.6026,0.0,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.706219,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.100793,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.333978,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.089657,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.850615,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.094885,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.391784,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.088884,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.092529,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.084927,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,2.189259,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.212781,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.189483,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.085549,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.083404,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.101631,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,262.911738,4.288358,PASS,PASS,0,b9b4bbd6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00FD,2023-06-06 09:16:35,2023-06-06 09:19:45,STQ236YM3101,monolith_receiver_ft,10023006
