record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.718,9.131013,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,31.7546,0.0,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.549649,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.08067,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.571899,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.081383,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,2.379913,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.081656,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.900507,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.087113,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.398028,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.085653,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,2.344179,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.208007,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.130798,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.090325,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.132727,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.140114,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,266.512628,4.286348,PASS,PASS,0,b7f4cb24-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00F8,2023-06-06 09:52:00,2023-06-06 09:55:12,STQ236YM3101,monolith_receiver_ft,10023006
