record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.759,9.086132,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.3062,0.0,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.29379,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.083389,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.178127,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.083323,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.241674,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.084099,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.776167,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.09067,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.799484,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.089557,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.37032,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.234279,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,10,1.093362,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.097374,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.142349,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.089485,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,336.818383,4.287241,PASS,PASS,0,b8fe2312-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E1,2023-06-06 12:02:49,2023-06-06 12:05:55,STQ236YM3101,monolith_receiver_ft,10023006
