record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.72,9.091778,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.697,0.0,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.297612,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.088033,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,3.118252,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.086891,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.038116,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.085882,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.756843,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.191435,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.137147,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.090424,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.092521,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.217105,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.088339,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.089678,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.136633,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.090991,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,266.034204,4.287245,PASS,PASS,0,b7e4882c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00CC,2023-06-06 13:34:09,2023-06-06 13:37:19,STQ236YM3101,monolith_receiver_ft,10023006
