record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.718,9.154794,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,28.8193,0.0,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.360345,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.097728,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.163003,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.094896,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.334405,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.093173,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,2.08973,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.089838,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.583553,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.089419,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,5.884386,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.217237,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.187143,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.21131,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.089183,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.140174,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,269.169731,4.28437,PASS,PASS,0,b8a58fb8-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00A1,2023-06-06 17:20:21,2023-06-06 17:23:40,STQ236YM3101,monolith_receiver_ft,10023006
